epoch;loss;val_loss
0;785.1356234588869;182.17019405082115
1;183.44294873911787;179.25034318196467
2;182.19352238112987;178.75792947598794
3;164.55313537892513;131.77693584040068
4;135.09248847162857;128.66194523634599
5;130.5810670223021;123.91214980483123
6;127.85769700005818;124.7113400596084
7;125.87384541829427;118.49143109385835
8;123.00709332206591;114.27910645971964
9;120.45328934526674;113.94148556443582
10;118.73747007704779;111.77488197940778
11;116.78182319972827;112.74624491790595
12;115.35808031263367;112.47666758750312
13;114.04838023899833;115.36976607728758
14;112.95343007749598;111.83686671413032
15;111.40649025835661;109.88947856103687
16;110.54246020969754;109.09426181637308
17;108.93823485443558;108.15852983116928
18;108.44694853212907;107.37920702417426
19;107.19184021634948;106.87493581565633
20;106.3645661579814;107.49980386591277
21;106.01655332900091;107.94645647299218
22;105.58707558206505;109.50526917875521
23;104.51866883356215;106.61774085006101
24;104.48597551428753;107.23390111034648
25;102.5954118811566;106.17562937987535
26;102.57674249473978;105.75044139238874
27;101.95914442028592;105.0147367615831
28;101.01698430993515;103.56790785528749
29;100.74335041138285;105.92370979208025
30;99.75924535189274;105.42339080599795
31;98.86948966058556;105.24141267033458
32;98.12089000462333;108.37981275646789
33;97.79392720343795;107.85894236677461
